mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
6190512	10	11	右医食号
6190527	201	244	四季福火锅城
6190542	10	2090	八珍熟食
6190547	10	11	小周米线
6190592	10	11	李记猪头肉
6190602	319	2119	潮汕美味
6190612	24	24	韩式煎肉
6190622	201	244	南北涮肉坊
6190642	249	179	85度C（瑞丽店）
6190652	201	244	运7酒店好运餐厅
6190697	174	1937	程家麻辣粉（新华街店）
6190727	10	11	品客牛肉面
6190797	10	11	好食在
6190802	10	11	垫江百年老店石磨豆花
6190827	10	11	光桦快餐
6190832	230	230	品湘阁（咸田二区店）
6190877	201	244	呥德佳火锅
6190882	315	383	坤子原味炭烤
6190887	298	298	三毛土菜馆
6190902	30	1911	奥仔农莊
6190907	249	179	香港果C益佰
6190912	2165	1988	约刻咖啡
6190917	249	179	兴旺饼家
6190942	10	11	香脆鸡架麻辣串
6190977	10	2109	梦之缘
6191002	249	12	小红帽蛋糕
6191052	10	2109	潘大师炸鸡腿（开发区店）
6191057	2164	2045	金狮麟经典家常菜（旗舰店）
6191077	10	11	猪脚饭
6191092	229	2003	川源饭店
6191102	2165	1988	牧牧咖啡馆（文化路店）
6191107	2165	2110	心情果吧
6191112	249	179	盛源休闲吧
6191162	10	2087	莱格麻辣烫
6191167	24	24	正一味韩国料理（常营华联店）
6191187	2166	36	黔荟食苑
6191217	315	2043	疯狂烤翅
6191222	229	2003	合川川菜馆
6191272	229	2003	金 牌私房鱼（湖滨二巷店）
6191282	249	12	克莉丝汀（樱花店）
6191292	2164	120	好妈妈私房菜
6191302	10	11	爱米粒快餐
6191307	228	228	一品佳味
6191342	2164	120	小油饼私房菜
6191427	201	241	巴适三合鱼
6191467	230	230	川湘汇
6191472	2165	1988	轮回咖啡酒吧
6191477	10	2109	小资小味（东门店）
6191487	184	2124	金味缘酒楼
6191492	10	11	孙记金桔餐馆
6191512	10	11	茶蛋面
6191527	304	304	皇家一品汤
6191537	249	1900	2号阵地（宣城路店）
