xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
5470340	201	244	聚缘阁秘汁焖锅（东庆北路店）
5487501	201	244	过锅瘾三汁焖锅（中山路店）
5501970	229	2001	黄记煌三汁焖锅（青羊广场店）
5516709	201	244	黄记煌三汁焖锅（红谷滩万达广场店）
5520975	229	2001	黄记煌三汁焖锅（王府井店）
5523488	229	2003	辣芙蓉三汁焖锅
5541896	201	244	锅之恋时尚焖锅
5579067	201	244	和福顺养生焖锅店（信达广场店）
5600822	229	2003	黄尚煌三汁焖锅（钟宅店）
5624136	201	244	过锅瘾三汁焖锅（江南新城店）
5654556	201	244	黄记煌三汁焖锅（维多利摩尔城店）
5667574	229	2003	鸿记皇家五汁焖锅（人民广场店）
5667727	10	1953	五道菌汤焖锅
5681455	229	2003	焖尚瘾三汁焖锅
5701166	23	2042	金太郎寿司居酒屋
5706673	23	2042	松荣•花好月圆居酒屋（泰晤士店）
5714513	229	2001	笨山大叔焖锅
5716210	23	2042	七福居酒屋
5738262	201	244	五汁焖锅
5744138	229	2001	厨先生水晶焖锅餐厅
5763112	201	244	煌记煌三汁焖锅（莘英路店）
5763839	201	244	黄记煌三汁焖锅（星球商业中心店）
5771556	201	244	黄记煌三汁焖锅（世纪金源店）
5773523	229	2032	御记煌三汁焖锅
5779401	10	1953	黄记煌三汁焖锅（保丽广场店）
5806017	201	244	一品黄记煌三汁焖锅（银资大厦店）
5817078	175	2004	醉香馆三汁焖锅
5818623	201	244	御记煌三汁焖锅
5823438	229	2001	三汁焖锅
5848279	298	298	过锅瘾三汁焖锅（过锅瘾四码头店）
5854395	201	244	黄记煌三汁焖锅（万达广场店）
5868521	201	244	黄记煌三汁焖锅（吉林大街店）
5891972	201	244	怪味合焖锅（群力店）
5907467	201	244	焖锅达人（衡百国际店）
5940039	201	244	焖汁源御善煌焖锅（板桥店）
5940851	201	244	和福顺焖锅
5957638	315	220	煌中皇焖锅烧烤
5962189	23	2042	楽GAKU居酒屋（奥城店）
5971119	201	244	韩居传奇焖锅
5989717	201	244	京悦麻辣焖锅
5995506	23	2042	道顿堀居酒屋（南京西路店）
6015994	201	1928	黄记煌三汁焖锅（郴州生源店）
6028466	201	244	皇尚煌三汁焖锅
6042638	10	2109	万年青居酒屋
6043616	23	2042	奈美居酒屋
6049827	201	244	美厨三汁焖锅
6065985	229	2001	御香七品焖锅
6080034	201	244	友来友趣三汁焖锅（丹尼斯店）
6085210	10	11	御品皇三汁焖锅（一中店）
6085528	201	244	黄记煌三汁焖锅（宜兴万达店）
6097441	201	244	焖汁源御善煌焖锅（六合店）
6130198	23	2042	道尚居酒屋（南俊新街店）
6143089	184	236	禾记和•三汁焖锅主题餐厅
6157399	229	2001	黄记煌三汁焖锅（万象城商场店）
6160064	201	244	和福顺养生焖锅（广进久富店）
6177087	10	2109	三汁焖锅（巨成龙湾店）
6192941	201	244	黄记煌三汁焖锅（银泰店）
6209320	202	210	红辣轩三汁焖锅
6216506	10	11	大火板烧居酒屋（桐乡传媒店）
6236298	201	244	和福顺养生焖锅（新都汇店）
6242381	201	244	和福顺养生焖锅（沙坪坝店）
6302287	201	244	鸿记煌三汁焖锅
6326706	201	244	祯香三汁焖锅
6327192	201	244	黄记煌三汁焖锅（龙湖星悦荟购物中心店）
6344063	10	2109	满汉焖锅（雅香炒饼）
6349105	201	244	黄记煌三汁焖锅（新丹尼斯店）
6379275	201	244	鸿记煌三汁焖锅（火车站店）
6391455	229	2003	焖锅达人
6393121	23	2042	热海创作居酒屋
6407000	184	236	典味工坊三汁焖锅
6442567	201	244	来御来三汁焖锅
6447132	201	241	黄记煌三汁焖锅（金街店）
6449723	201	244	三汁焖锅
6463723	23	317	66大阪烧 串烧居酒屋
6467201	201	244	来御来三汁焖锅（青羊店）
6468406	229	2001	红蕃茄焖锅
6534296	2164	223	过锅瘾三汁焖锅（东莱街店）
6542093	23	2042	望津居酒屋
6542387	201	244	鸿记煌三汁焖锅
6553263	184	236	百味养生焖锅
6587849	201	244	皇记三汁焖锅
6589365	229	2001	锅之恋艺术焖锅
6598045	229	2001	尚鼎鲜三汁焖锅
6598411	184	236	上海和煌记三汁焖锅
6599895	201	244	焖锅达人（永年店）
6599910	229	2001	焖汁汇焖锅（九方店）
6609098	229	2003	御品皇三汁焖锅（在水一方店）
6615401	201	244	黄记煌三汁焖锅（凯德广场）
6618580	2164	223	皇记焖锅
6619797	229	2003	一品皇记煌三汁焖锅
6650010	229	2001	黄记煌三汁焖锅（金山百联店）
6655102	201	244	小小焖锅
6689612	201	241	过锅瘾三汁焖锅（公明店）
6689993	2164	223	过锅瘾三汁焖锅（东城路店）
6694265	201	244	黄记煌三汁焖锅（旺城广场店）
